"","gene","ColGM","ColABA","ColTSA","YGM","YABA","YTSA","kClusters"
"5503","AT4G10925",-0.582146026163378,-0.620759316003198,1.50007535178786,-0.813052960745873,-0.526728865462464,1.04261181658705,11
"5504","AT5G63750",-0.909346992826916,-0.673423273089646,1.45796129674678,-0.547908682326383,-0.394209294142333,1.0669269456385,11
"5505","AT2G36780",-0.743616184704233,-0.804143653930645,1.4913911756168,-0.616645274379398,-0.359702425306134,1.03271636270361,11
"5506","AT1G75410",-0.840349500448112,-0.618950017119442,1.45756184874154,-0.376633701473173,-0.697603934343432,1.07597530464262,11
"5507","AT3G61740",-0.8376172641147,-0.719814236860104,1.52037748071025,-0.406171186107748,-0.554762877883933,0.997988084256237,11
"5508","AT5G23100",-0.974238032421506,-0.601669935104829,1.50680859260117,-0.4042380661811,-0.519290547500167,0.992627988606434,11
"5509","AT3G48070",-0.772564446482873,-0.87310422504007,1.40566864591565,-0.292841257745772,-0.581285948859563,1.11412723221263,11
"5510","AT2G46310",-0.841953560668069,-0.897318157102615,1.48494713984724,-0.417475113349314,-0.327773054069762,0.99957274534252,11
"5511","AT1G31010",-0.586630088711149,-0.402782739026134,1.61973544914358,-0.231087057594763,-1.13154925284535,0.732313689033815,11
"5512","AT1G60850",-0.537665559569233,-0.567689255097119,1.53348813901814,-0.33122615600339,-1.02892605118478,0.932018882836376,11
"5513","AT1G10230",-0.473132168475779,-0.692591385696249,1.51294472865878,-0.177005182125327,-1.07547252379399,0.905256531432575,11
"5514","AT3G04800",-0.566991482381613,-0.668742643526143,1.61142651215338,-0.357296882238988,-0.877177668886201,0.858782164879567,11
"5515","AT3G17970",-0.515483011757446,-0.567513432067738,1.65534860419287,-0.413704287890814,-0.941962608009222,0.783314735532352,11
"5516","AT1G11410",-0.450599131835704,-0.568546691086856,1.64676616420104,-0.457152245825477,-0.962262673610152,0.791794578157149,11
"5517","AT1G24267",-0.381322234362545,-0.686780423453563,1.7187714688511,-0.455879755289478,-0.872621237294983,0.677832181549466,11
"5518","AT1G21326",-0.518586630919406,-0.523390262439792,1.73583697192956,-0.461139482344,-0.892334358944731,0.65961376271837,11
"5519","AT2G42395",-0.450096788916553,-0.617737270878025,1.76815445524067,-0.329850722588825,-0.930894939539253,0.560425266681982,11
"5520","AT3G20020",-0.46930879642707,-0.581604558845313,1.76851963963052,-0.387118109845829,-0.910009831383393,0.579521656871083,11
"5521","AT2G42650",-0.457544834965954,-0.600756321738575,1.7794533294034,-0.414712516704429,-0.87583705428924,0.569397398294794,11
"5522","AT4G28450",-0.247441530144894,-0.57741982964033,1.67627434156941,-0.467164302816021,-1.05912991957678,0.674881240608621,11
"5523","AT1G48970",-0.212492005714293,-0.645079004081689,1.75154019450374,-0.511407446385001,-0.944976051249601,0.562414312926841,11
"5524","AT5G61030",-0.283948150193805,-0.601463778100997,1.76863232619095,-0.251239973430083,-1.07977464310443,0.447794218638367,11
"5525","AT1G49880",-0.259506323864948,-0.694805225585599,1.79619609533799,-0.26985475775263,-0.988564224693764,0.416534436558948,11
"5526","AT3G55010",-0.328597416264182,-0.45360365719805,1.72688697228434,-0.338735580000647,-1.14136622495157,0.535415906130111,11
"5527","AT5G57280",-0.226659207596302,-0.512400369983796,1.77758728681953,-0.396299558641543,-1.08366671718676,0.441438566588873,11
"5528","AT3G19360",-0.1857051138314,-0.57514461123616,1.72880928540194,-0.287365131409519,-1.15631119549435,0.475716766569487,11
"5529","AT3G14710",-0.700004136085402,-0.838441877944836,1.69338085675091,-0.365977846492255,-0.520282517723242,0.731325521494824,11
"5530","AT2G40610",-0.543359430243262,-0.8235756618269,1.63442613449117,-0.370882305692473,-0.726840272599955,0.830231535871422,11
"5531","AT1G73590",-0.611176544063163,-0.714416423353225,1.7049493184168,-0.324939237018476,-0.769554200461404,0.715137086479467,11
"5532","AT5G04590",-0.412889741276902,-0.992856051627841,1.71335463974811,-0.507929186992262,-0.461141274075922,0.661461614224814,11
"5533","AT4G15080",-0.343131634158919,-0.841600050088577,1.75409588622484,-0.442376424679123,-0.731834299800486,0.604846522502269,11
"5534","AT1G69580",-0.352704393305439,-0.864262022212399,1.79881728351956,-0.359488378203074,-0.719026914423208,0.496664424624558,11
"5535","AT5G64680",-0.398248570416908,-0.464307748302469,1.60801355133598,-0.716063393356593,-0.888461770018382,0.859067930758367,11
"5536","AT1G02890",0.0303561946993651,-0.729300105048696,1.42010951868644,-0.818385088078539,-0.89373012640514,0.990949606146567,11
